"","ID","age","body.height","test.1","test.2","test.3","test.4","test.5","mean"
"1","M01",29,169,16.3,15.5,16,17.2,16.7,16.3
"2","M02",29,175,16.2,15.3,15.8,17.3,17.2,16.4
"3","M03",30,171,16.5,15.8,16.5,17.3,17,16.6
"4","M04",34,178,17.3,16.2,17.3,18.5,17.9,17.4
"5","M05",36,176,17.7,16.9,17.6,18.4,18.8,17.9
"6","M06",38,177,16.9,16.3,16.8,17.3,17,16.9
"7","M07",38,175,16.8,16.1,16.3,18.4,17.2,17
"8","M08",47,175,17.1,16.4,16.8,17.3,17,16.9
"9","M09",52,165,16.7,16,16.2,17.5,17,16.7
"10","M10",55,168,18.3,17.5,18,19.3,18.7,18.4
"11","M11",24,175,15.8,15.6,16.1,16.8,16.8,16.2
"12","M12",40,162,16.8,16.3,16.6,17.8,16.8,16.9
"13","M13",27,184,17,16.6,16.9,18,18,17.3
"14","M14",44,169,16.8,16.4,16.3,17.4,17.9,17
"15","M15",35,175,16.1,15.5,15.8,17.7,17.4,16.5
